UniprotAccession,BRAIN,BROWN_ADIPOSE_TISSUE,CEREBELLUM,CEREBRAL_CORTEX,HEART,KIDNEY,LIVER,LUNG,MUSCLE,PANCREAS,SPLEEN,WHOLE_ORGANISM
A2AHC5,,,,,,,,,,,,0.002
A2AHC6,,,,,,,,,,,,0.002
A2AHG0,1.41,,16.7,,,,,,,,,0.481
A2AHJ4,,,4.24,,0.082,,0.093,,,,,0.319
A2AHL1,0.006,,,,0.059,,,,,,,0.002
A2AHM0,,,,,,,,,,,,0.002
A2AHM1,,,,,,,0.075,,,,,0.004
A2AHM2,0.035,,,,,,,,,,,0.215
A2AHM8,,,,,,,,,,,,0.053
A2AHY8,0.181,,,,,,,,,,,0.145
A2AI05,1.65,,9.39,,,,,,,,1.88,0.285
A2AI08,,0.19,36.3,,,,,,0.311,,,1.15
A2AI76,0.01,,,,,,,,,,,0.025
A2AI92,,,,,,,,,,,,0.034
A2AI93,,,,,,,,,,,,1.48
A2AIG8,,,6.19,,0.151,,,,0.033,,,0.256
A2AIL4,0.73,8.02,24.8,25.5,33.2,0.446,5.27,11.3,1.72,1.05,8.07,2.48
A2AIR5,0.006,,13.9,,,,,,,,,0.002
A2AIV2,2.01,0.046,15.6,,,,,,0.078,0.308,8.51,11.0
A2AIV8,0.408,,,,,,,,,,,1.34
A2AIW0,,,7.86,,,,,,,,,0.096
A2AJ15,0.733,0.545,16.4,,0.315,,0.015,0.244,0.059,1.34,6.17,1.55
A2AJ76,,,,,0.137,,,,3.46,,,0.009
A2AJ77,,,,,,,,,,,,0.002
A2AJ88,0.302,,4.49,,0.493,,,,2.84,0.396,0.69,0.388
A2AJA7,,,,,,,,,,,,0.358
A2AJA9,1.2,,43.5,,,,,,,,,1.22
A2AJB2,,,7.94,,,,,,,,,0.212
A2AJB7,,,,,,,,,,,,0.026
A2AJB9,,,,,,,,,,,,4e-05
A2AJD1,,,,,,,,,,,,0.114
A2AJI0,43.9,,112.0,1.38,49.9,,0.304,36.1,3.56,0.551,0.36,12.9
A2AJK6,0.315,,19.2,,0.087,,,,0.543,0.018,0.06,0.97
A2AJL3,0.062,0.219,11.0,0.154,0.306,297.0,128.0,2.08,0.173,0.15,0.894,3.29
A2AJN7,0.263,,,,,,,,,,,0.036
A2AJQ3,,,13.8,,,,,,6.04,,,0.224
A2AJT4,,,18.1,,0.082,39.6,,1.52,,,,5.29
A2AJU2,,,,,,,,,,,,0.341
A2AJW4,1.13,3.89,34.0,,3.89,,,,0.028,,,0.783
A2AJW5,0.038,,19.7,,,,,,,,,0.005
A2AJX0,,,,,,,,,,,,0.008
A2AK42,0.846,,,,,,,,,,0.294,1.57
A2AK60,,,,,,,,,,,,2e-05
A2AKB4,0.002,,9.39,,0.105,,,,,,,0.047
A2AKB9,,,7.25,,,,,,,,,0.172
A2AKE7,,,,,,,,,,,,0.012
A2AKG8,0.12,0.467,16.2,0.074,1.66,13.5,1.4,2.51,2.31,139.0,28.2,0.452
A2AKK5,,,0.02,0.054,0.311,,21.7,0.03,,0.285,0.037,4.47
A2AKM2,,,,,,,,,,,,0.061
A2AKN9,10.6,0.698,,,0.157,15.0,44.5,5.42,,0.801,0.792,226.0
A2AKP6,,,,,,,,,,,,0.0005
A2AKX3,0.007,0.19,6.33,,0.122,0.023,0.059,0.027,0.843,,0.144,2.36
A2AKY4,,,,,,,,,,,,0.023
A2AL36,0.009,,,,0.055,0.063,0.031,4.88,,,,0.592
A2ALD2,0.136,,,,,,,,,,,0.081
A2ALI5,0.4,,12.0,,,,,,,,,0.314
A2ALK8,0.016,,4.54,,0.132,,0.002,,0.089,,,0.042
A2ALS5,90.4,0.691,116.0,29.3,0.153,0.694,0.002,2.98,,108.0,,6.95
A2ALU4,1.33,0.04,85.5,160.0,0.052,,0.081,1.67,0.265,0.177,0.885,2.92
A2ALV5,,,8.38,,,,,,13.5,1.48,1.41,0.009
A2ALW2,0.131,,9.64,,,,,,,,,0.254
A2ALW5,,,15.4,,3.37,,22.2,,0.99,0.803,,0.426
A2AM05,,,2.68,,0.046,,,0.846,0.032,,0.757,0.007
A2AM29,0.057,,5.86,,0.452,,,,0.006,,,0.182
A2AM80,,,,,,,,,,,,0.109
A2AMD0,22.7,,,0.244,,,0.071,,,,9.67,20.8
A2AMD2,,,,,,,,,,,,0.0003
A2AML7,,,,,,,,,,,,3e-06
A2AMM0,0.01,0.054,0.261,0.077,78.6,,,,49.9,,,4.11
A2AMS7,,,,,,,,,,,,0.068
A2AMT1,,0.181,0.213,5.97,2.79,,0.004,0.227,0.287,0.155,0.078,0.293
A2AMW3,,,,,,,,,,,,0.007
A2AMW4,,,,,,,,,,,,0.004
A2AMZ4,15.0,,,,,1.46,,,0.004,,,9.37
A2AN08,299.0,551.0,70.2,1.15,231.0,542.0,696.0,1121.0,38.6,260.0,1672.0,15.9
A2ANE0,,,,,,,,,,,,0.224
A2ANF5,,,,,,,,,,,,5e-05
A2ANU3,0.375,,43.3,,,,,,,,,0.348
A2ANU7,,,,,,,,,,,,0.025
A2ANX3,0.01,,,,,,,,,,,0.07
A2ANX9,,,4.05,,,,,,,,,0.847
A2ANY3,,,,,2.2,,,2.58,,,,0.104
A2ANY6,4.67,4.33,22.0,20.9,3.82,8.01,6.2,1.94,24.5,0.058,512.0,3.11
A2AP18,21.7,,1.38,,,,,,,,,0.551
A2AP83,,,,,,,,,,,,2.77
A2AP89,0.01,,,,,,,,,,,0.002
A2APB8,5.74,0.864,3.41,50.6,0.091,,,,1.39,,0.289,12.9
A2APC3,,,,,,,,,,,,0.013
A2APF3,,,,,0.1,,,,,,,0.049
A2APQ6,0.601,,,,,,,,,,,0.451
A2APT9,0.071,93.4,5.31,,,0.962,0.089,,,,,0.038
A2APU9,,,,,,,,,,,,0.286
A2APV2,1.49,,0.077,,0.479,,0.064,15.0,0.394,0.14,20.4,3.42
A2APX8,2.05,,16.5,,0.003,,,,,,,0.724
A2APY7,2.65,4.92,22.0,8.32,40.9,0.73,0.11,0.142,8.07,,0.139,3.41
A2APZ1,,,,,,,,,,,,0.099
A2AQ07,45.1,20.4,,,34.2,,9.5,42.2,,16.5,393.0,24.7
A2AQ14,,,,,,,,,,,,0.027
A2AQ19,3.66,0.101,32.3,2.49,0.742,,0.041,2.93,0.505,0.016,11.3,12.1
A2AQ92,0.005,,,,,,,,,,,0.015
A2AQ99,,,,,,,,,,,,0.04
A2AQA0,,,,,,,,,,,,0.032
A2AQA1,0.025,,,,,,,,,,,0.06
A2AQH1,0.031,,,,,,,,,,,5e-06
A2AQH4,,,4.8,,0.041,,,,,,,1.01
A2AQP0,0.163,,4.55,,144.0,,,0.431,3.69,0.43,1.23,2.22
A2AQW0,0.177,0.324,0.958,1.18,0.093,1.49,0.228,0.324,,0.197,0.528,0.015
A2AQX6,0.016,0.091,,,,,,0.17,,,0.077,
A2AR02,7.99,,60.1,0.326,0.237,,,5.32,0.18,,0.651,18.0
A2AR50,0.083,,15.0,,,,,,,,,0.145
A2AR95,,,,,,,,,,,,0.039
